wavelength_micron,normalized_flux,err_normalized_flux
2.2894038,1.029718e+00,8.274000e-03
2.2894163,1.047788e+00,1.421100e-02
2.2894288,1.046700e+00,1.695800e-02
2.2894413,1.052190e+00,2.001100e-02
2.2894538,1.037768e+00,1.166500e-02
2.2894663,1.055648e+00,1.298200e-02
2.2894788,1.041084e+00,1.207400e-02
2.2894913,1.032268e+00,1.482300e-02
2.2895038,1.044825e+00,1.129700e-02
2.2895163,1.015969e+00,1.335000e-02
2.2895288,1.011250e+00,9.909000e-03
2.2895414,9.998650e-01,9.473000e-03
2.2895539,9.991810e-01,6.500000e-03
2.2895664,9.944140e-01,8.574000e-03
2.2895789,1.009695e+00,1.485300e-02
2.2895914,1.002218e+00,1.296000e-02
2.2896039,1.000310e+00,1.245800e-02
2.2896164,9.843140e-01,8.505000e-03
2.2896289,9.872200e-01,8.066000e-03
2.2896414,9.748920e-01,1.127700e-02
2.2896539,9.765830e-01,1.059700e-02
2.2896664,9.872390e-01,1.269700e-02
2.2896789,9.797970e-01,1.022200e-02
2.2896914,9.712090e-01,8.112000e-03
2.2897039,9.767620e-01,8.871000e-03
2.2897164,9.770850e-01,1.321600e-02
2.2897289,9.842330e-01,1.057400e-02
2.2897414,9.672650e-01,8.212000e-03
2.2897539,9.832510e-01,1.523000e-02
2.2897664,9.770050e-01,1.229600e-02
2.2897789,9.758850e-01,1.458800e-02
2.2897914,9.855460e-01,1.034300e-02
2.2898039,9.657860e-01,9.410000e-03
2.2898164,9.832290e-01,7.675000e-03
2.2898289,1.005422e+00,7.495000e-03
2.2898414,1.008633e+00,1.171700e-02
2.2898539,1.013255e+00,1.171500e-02
2.2898664,1.066902e+00,9.926000e-03
2.2898789,1.111861e+00,1.271600e-02
2.2898914,1.136077e+00,3.333400e-02
2.2899039,1.232953e+00,4.580300e-02
2.2899164,1.184497e+00,4.135500e-02
2.2899289,1.112916e+00,1.959800e-02
2.2899414,1.091533e+00,8.695000e-03
2.2899539,1.048281e+00,1.133000e-02
2.2899664,1.066876e+00,1.364400e-02
2.2899789,1.054734e+00,1.633900e-02
2.2899914,1.022256e+00,1.291100e-02
2.2900039,1.011079e+00,1.539400e-02
2.2900164,1.039662e+00,9.807000e-03
2.2900289,1.062206e+00,1.217000e-02
2.2900414,1.029823e+00,1.007800e-02
2.2900539,1.005479e+00,1.466200e-02
2.2900663,1.006242e+00,9.955000e-03
2.2900788,1.011152e+00,7.332000e-03
2.2900913,1.021821e+00,7.919000e-03
2.2901038,1.017692e+00,1.607500e-02
2.2901163,1.017733e+00,1.004400e-02
2.2901288,1.028993e+00,8.693000e-03
2.2901413,1.008017e+00,9.251000e-03
2.2901538,9.989960e-01,8.753000e-03
2.2901663,1.006673e+00,9.257000e-03
2.2901788,1.038938e+00,7.512000e-03
2.2901913,1.031132e+00,1.350100e-02
2.2902038,1.024816e+00,1.214500e-02
2.2902163,1.003997e+00,1.183000e-02
2.2902287,1.022929e+00,1.031700e-02
2.2902412,1.006866e+00,1.032600e-02
2.2902537,1.011170e+00,2.100600e-02
2.2902662,1.033928e+00,1.194200e-02
2.2902787,1.040332e+00,9.204000e-03
2.2902912,1.033879e+00,9.034000e-03
2.2903037,1.042303e+00,7.016000e-03
2.2903162,1.050720e+00,7.091000e-03
2.2903287,1.035190e+00,1.095800e-02
2.2903411,1.026918e+00,1.019100e-02
2.2903536,1.017357e+00,9.611000e-03
2.2903661,1.003845e+00,1.260400e-02
2.2903786,1.014312e+00,1.207600e-02
2.2903911,9.964660e-01,1.108900e-02
2.2904036,9.718790e-01,6.322000e-03
2.2904161,9.698250e-01,1.047700e-02
2.2904285,9.668750e-01,7.004000e-03
2.2904410,9.382960e-01,8.547000e-03
2.2904535,9.438410e-01,1.145800e-02
2.2904660,9.424620e-01,1.191300e-02
2.2904785,9.465000e-01,1.057000e-02
2.2904910,9.541090e-01,1.090600e-02
2.2905035,9.475940e-01,9.514000e-03
2.2905159,9.286800e-01,8.185000e-03
2.2905284,9.310010e-01,1.035200e-02
2.2905409,9.405710e-01,9.576000e-03
2.2905534,9.337510e-01,8.308000e-03
2.2905659,9.375620e-01,9.915000e-03
2.2905784,9.476600e-01,1.273400e-02
2.2905908,9.652930e-01,8.130000e-03
2.2906033,9.668980e-01,7.493000e-03
2.2906158,9.665210e-01,8.817000e-03
