# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
6.304594034417505100e+02 1.450153551607027969e-01 9.156196599064000356e-04 9.937323445269000566e-04
6.321358710855178060e+02 1.440609437129903025e-01 9.821411817422999891e-04 9.909814925007000980e-04
6.338144084410931782e+02 1.440111624523527090e-01 9.197538327899999798e-04 8.846893620186000199e-04
6.354950050432925082e+02 1.449361300613691006e-01 9.020046625377999916e-04 9.189422896506999755e-04
6.371776668888236372e+02 1.455844809149869079e-01 8.244425462138999482e-04 8.011723471598999544e-04
6.388623701779935118e+02 1.447143328103351889e-01 8.727993285585999806e-04 8.698864726948999856e-04
6.405491095086580344e+02 1.449732507190165942e-01 8.031362937579999972e-04 7.760624040506000501e-04
6.422378858986393197e+02 1.457577027701978944e-01 9.028444272194000248e-04 8.279457950365000287e-04
6.439286715936619885e+02 1.443315025864755075e-01 7.680088842238999743e-04 7.602841759914000155e-04
6.456214779687168175e+02 1.453137182810015082e-01 7.911756360125000173e-04 7.709192104377000443e-04
6.473162901241284999e+02 1.451631217242362881e-01 7.978354467290999950e-04 8.073238831445999665e-04
6.490130885433851518e+02 1.455290442619016911e-01 7.445896060032999864e-04 7.674885438152999556e-04
6.507118827800453573e+02 1.445831760927746013e-01 7.617702040643000100e-04 7.156032166775000381e-04
6.524126451160281022e+02 1.455719139987556865e-01 6.777322854474999558e-04 7.135198047136999963e-04
6.541153795076742199e+02 1.445411748738187063e-01 7.561993085999999800e-04 6.936502397956000173e-04
6.558200748852477773e+02 1.454776640816639877e-01 7.452831425376000088e-04 7.550244254009999892e-04
6.575267150061574739e+02 1.447577356050638031e-01 7.536418109901000433e-04 7.386880686612999928e-04
6.592353042400408185e+02 1.444593718982573050e-01 6.257515699256999695e-04 6.430558993451000347e-04
6.609458171643677815e+02 1.454266436153117958e-01 6.945466236441999626e-04 7.193758391850999532e-04
6.626582623229136289e+02 1.453149373424670876e-01 6.228105790583000163e-04 6.537776360002999767e-04
6.643726208517182386e+02 1.457443918568016028e-01 7.250350439635999721e-04 6.962322191318000243e-04
6.660888858242188917e+02 1.460553661346039034e-01 6.655418114521999924e-04 6.645217151610000299e-04
6.678070542098213309e+02 1.458562290694911112e-01 6.328855073993000079e-04 6.014355980329999561e-04
6.695271046862516187e+02 1.451634844490055920e-01 6.914064538061999617e-04 6.294025414473000159e-04
6.712490411641794026e+02 1.457923547328704994e-01 6.276680485669000218e-04 6.161555591262000498e-04
6.729728435786365708e+02 1.444034420655631035e-01 6.412864563782000142e-04 5.978483553894999459e-04
6.746985138981239061e+02 1.456281338571857875e-01 6.579355986332999489e-04 6.364075960277000349e-04
6.764260363101265057e+02 1.443073488743532862e-01 5.949611458311999512e-04 6.353981742977999518e-04
6.781554053285900636e+02 1.451622463438526078e-01 5.758709996276999794e-04 5.822111985609000487e-04
6.798866079750165454e+02 1.453177738399235031e-01 6.162297974501000251e-04 5.927479061549000526e-04
6.816196408917564895e+02 1.444894773257713039e-01 5.856144110650999624e-04 6.049742088215000072e-04
6.833544909797406035e+02 1.443305046642187894e-01 5.931049968432000044e-04 5.794935408999999640e-04
6.850911530709091721e+02 1.447165694903631006e-01 6.551555525619999921e-04 6.456431718791999985e-04
6.868296216211302863e+02 1.447119301998590069e-01 6.451822759777999699e-04 6.022669068677999945e-04
6.885698781843043434e+02 1.448746854867674905e-01 5.683202079572000510e-04 5.568283681448000068e-04
6.903119180605774545e+02 1.446453470150909082e-01 5.822973577196999566e-04 5.452634383227999721e-04
6.920557340913139797e+02 1.453407857048799878e-01 6.101516418025999637e-04 6.360885469110000344e-04
6.938013187758899676e+02 1.456405312417030917e-01 5.867949511875000411e-04 5.704319688273000021e-04
6.955486595476270395e+02 1.442869906165349936e-01 5.920988522991999610e-04 5.698855101186000400e-04
6.972977489392552570e+02 1.449698621878519056e-01 5.221849342424999575e-04 5.417661901311000491e-04
6.990485792126909246e+02 1.455904553736598883e-01 5.655161787647000485e-04 5.408187546583000278e-04
7.008011414612705039e+02 1.444326796675939883e-01 5.862169328604999738e-04 5.930672526383999653e-04
7.025554263545046751e+02 1.453097502223444082e-01 6.161898999395000421e-04 5.790961975769000174e-04
7.043114231060443444e+02 1.450337175430176095e-01 5.571894140299000261e-04 5.551533768711000441e-04
7.060691272787763637e+02 1.450551863102751970e-01 5.563208454379000396e-04 5.504694872047999864e-04
7.078285286123430069e+02 1.448839536664913996e-01 5.708258421777000387e-04 5.498182107467999890e-04
7.095896169686483290e+02 1.447627686235747058e-01 5.864585395222000159e-04 5.734293663713999891e-04
7.113523809417572465e+02 1.451265209380233900e-01 5.734978563229999916e-04 5.623515729797000330e-04
7.131168181654977616e+02 1.446060623310536086e-01 5.733135105385999937e-04 5.514501463379999730e-04
