# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
1.446132787385849042e+03 1.471204755241785067e-01 3.578491566905999842e-04 3.404206247534999883e-04
1.450991730354461424e+03 1.470188776064111913e-01 3.426479033709000179e-04 3.256064864538000246e-04
1.455852093878122332e+03 1.464311282136744052e-01 3.487685496069999991e-04 3.163067820198999847e-04
1.460713849892302960e+03 1.461501267662859982e-01 3.660293114158999863e-04 3.387289110579999834e-04
1.465576971766982069e+03 1.467741560377260057e-01 3.662781965135999810e-04 3.337627035204999743e-04
1.470441436698892858e+03 1.471890076572411055e-01 3.649023646547000011e-04 3.573331932291999905e-04
1.475307222072982995e+03 1.464159788883669100e-01 3.622398826983999815e-04 3.249886997029999801e-04
1.480174305462732264e+03 1.468691179435440974e-01 3.609796711079999972e-04 3.665637487275000099e-04
1.485042665900703014e+03 1.460727833163295020e-01 3.039924105669999932e-04 3.005463248214999979e-04
1.489912286452780791e+03 1.466309249140375082e-01 3.464926369454999805e-04 3.559986156799000226e-04
1.494783143802090308e+03 1.458358062284773882e-01 3.488816501073000202e-04 3.600176826330000047e-04
1.499655210878180924e+03 1.461534080129456015e-01 3.526994364808000090e-04 3.723558934771999899e-04
1.504528466110076351e+03 1.465062993488981946e-01 3.765507977186000163e-04 4.087826513311000067e-04
1.509402888223517493e+03 1.461573580653272864e-01 3.426961682070000050e-04 3.492684719732000150e-04
1.514278456134415592e+03 1.460190323035636950e-01 3.528695258402000088e-04 3.723786015032999998e-04
1.519155148949096201e+03 1.454907577069149138e-01 3.637732029001000027e-04 3.869284792445000206e-04
1.524032947237979215e+03 1.456112513300762967e-01 3.198593328066999791e-04 3.503229700861000160e-04
1.528911834353015820e+03 1.460809985110212983e-01 3.591022256758999833e-04 3.287621292151999761e-04
1.533791788502705685e+03 1.450965766542769986e-01 3.789993495567999904e-04 3.959947264195000090e-04
1.538672785454280074e+03 1.458277795434947954e-01 3.896037548735000020e-04 4.135093996427999740e-04
1.543554805233993193e+03 1.451667798665803866e-01 3.800493879045000042e-04 3.541278968798000073e-04
1.548437828108010081e+03 1.459167188888527977e-01 3.889887888877000075e-04 3.748876716040000241e-04
1.553321834534134723e+03 1.456418272197295138e-01 3.749583796319000233e-04 3.686498700587999906e-04
1.558206805161997409e+03 1.454140277037055951e-01 3.521159097464000246e-04 3.581165865381000018e-04
1.563092720833333942e+03 1.458158832901355895e-01 3.777566835664999869e-04 4.056393326369999862e-04
1.567979565402632034e+03 1.455925641067828957e-01 3.705306592439999843e-04 3.902481546947999874e-04
1.572867321241768195e+03 1.459491469339624092e-01 3.850943263380000219e-04 3.911464127663999836e-04
1.577755966749065692e+03 1.450919090178023063e-01 4.055277077665999752e-04 4.008317658409000128e-04
1.582645482195813884e+03 1.453964782881426998e-01 3.820788937274999892e-04 3.790139412881000209e-04
1.587535849396929507e+03 1.448317409444273007e-01 3.886411194500999930e-04 4.118142637654000223e-04
1.592427050360068733e+03 1.446717975914955934e-01 3.691385092554999949e-04 3.565425526547000008e-04
1.597319067285771098e+03 1.451745181647215999e-01 3.766960962871999876e-04 3.980051911660999805e-04
1.602211882567597286e+03 1.447824362934345133e-01 4.407714550066999730e-04 4.010039695237000205e-04
1.607105478792271015e+03 1.451450080818287025e-01 4.109215930783999943e-04 4.304410914058999873e-04
1.611999840330859570e+03 1.454136031044901134e-01 4.168769298151999846e-04 4.129970726574000244e-04
1.616894951611658144e+03 1.446154029215613868e-01 4.036850028876999888e-04 4.092124840510000185e-04
1.621790794047602731e+03 1.458195887477763131e-01 3.943463923431999836e-04 4.027765153033000109e-04
1.626687349385955486e+03 1.454615316313470075e-01 4.063894255014999755e-04 3.953680090786000135e-04
1.631584601189978684e+03 1.447040523512156951e-01 3.892757538064999835e-04 3.779791701371999768e-04
1.636482533216603770e+03 1.455076756161338969e-01 3.831558046986000042e-04 4.002237343484000209e-04
1.641381129416535941e+03 1.446603803269596034e-01 4.365265988249000004e-04 3.915033952853999751e-04
1.646280373934355794e+03 1.448643719998349011e-01 4.193146253167000085e-04 3.786732460607000251e-04
1.651180251108612993e+03 1.444664276154840055e-01 4.620351774402999922e-04 4.191429100139999796e-04
1.656080745471962700e+03 1.449434222393699012e-01 4.372368785012999983e-04 4.116683553051999917e-04
1.660981843344744675e+03 1.448656683444378979e-01 4.551487667608999986e-04 4.253200526053000263e-04
1.665883530272134294e+03 1.450512848723551074e-01 4.166951618172999778e-04 4.089868916102000224e-04
1.670785789646257854e+03 1.447450670199456058e-01 4.500346414484999828e-04 4.853911694689000151e-04
1.675688606026737943e+03 1.443377765194227003e-01 4.236840368384999877e-04 4.517819115266000262e-04
1.680591964925163438e+03 1.453893215328229127e-01 4.315037844477000130e-04 4.329139752676999797e-04
1.685495852047532935e+03 1.446202530958410060e-01 4.430835699305000239e-04 4.504879975457000267e-04
1.690400253294324102e+03 1.450182864133361949e-01 4.327831158251000060e-04 4.504210105308999938e-04
1.695305154760565529e+03 1.450858295478215099e-01 4.653198557243999850e-04 4.803661523471000248e-04
1.700210542735902891e+03 1.447401779125246091e-01 4.247486517988999753e-04 4.464270697437000188e-04
1.705116403704662162e+03 1.444341469227063135e-01 4.183280445309000011e-04 4.376528516173999891e-04
1.710022724784368393e+03 1.437734766838850986e-01 4.822227013616000148e-04 4.574862093949999867e-04
1.714929494008593338e+03 1.451138279941620035e-01 4.545271823357000126e-04 4.562869050054000220e-04
1.719836697913562602e+03 1.453642849802216919e-01 4.304401968465000161e-04 4.558918897086000231e-04
1.724744322503023568e+03 1.451758701146853014e-01 4.615950157252999967e-04 4.530486595272000005e-04
1.729652355232508853e+03 1.451621960307669934e-01 4.756412497440999751e-04 4.635866828778999952e-04
1.734560783761729454e+03 1.451134540879789048e-01 4.863638013947999862e-04 4.662291931828000226e-04
1.739469595945354968e+03 1.454225183614837047e-01 4.395906364137999798e-04 4.938400098239999593e-04
1.744378779833060662e+03 1.455027813128755010e-01 4.925673398615999787e-04 5.041882996697000024e-04
1.749288323669572492e+03 1.452111013924078931e-01 5.080470204611000143e-04 4.906764593825000331e-04
1.754198215894711211e+03 1.453721850508689906e-01 4.672021924298000168e-04 4.710380196043999841e-04
1.759108445143433755e+03 1.466158274735183953e-01 5.156798666184999507e-04 5.156997997362999667e-04
1.764019000569760237e+03 1.468217258260599012e-01 4.639693433780999908e-04 4.676526985024000052e-04
1.768929871944947081e+03 1.457031303906373976e-01 5.082978487594999682e-04 4.964931273366999728e-04
1.773841048087968602e+03 1.459726632295423043e-01 5.015704170328000137e-04 4.528118197483000144e-04
1.778752517591885635e+03 1.452025412222945067e-01 5.029053647856000526e-04 4.837907172807000061e-04
1.783664270071333476e+03 1.460138521680814927e-01 5.019013216065999847e-04 5.213819466764000460e-04
1.788576295338042883e+03 1.458813838397549079e-01 5.104612029192000288e-04 4.818182092686999849e-04
1.793488583399050867e+03 1.464969223105203888e-01 5.253356711906999538e-04 4.991702613546999869e-04
1.798401124456732532e+03 1.458002023400326030e-01 4.497022395184999892e-04 4.924486821103000317e-04
1.803313908908829262e+03 1.456604343434058924e-01 5.046173763235999509e-04 4.916200458606000525e-04
1.808226927348475783e+03 1.461564824158529952e-01 4.992489869496000501e-04 4.789127073950999740e-04
1.812648826638363971e+03 1.448254835251419070e-01 5.983978101093000330e-04 5.408190508108999756e-04
1.816579560292208726e+03 1.465227187725391123e-01 6.000126633661000347e-04 5.877368037956999742e-04
1.820510428254797944e+03 1.464137487163895968e-01 5.323630477311999589e-04 5.729421537041999796e-04
