# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6300.6499023,7.362936999999999e-19,2250.0,,,,
6300.4384766,1.093059e-19,2250.0,,,,
6300.2431641,1.169491e-19,2250.0,,,,
6300.184082,6.080577e-20,2250.0,,,,
6300.1362305,8.497282e-20,2250.0,,,,
6299.9760742,5.814128e-20,2250.0,,,,
6299.8447266,4.2923369999999997e-19,2250.0,,,,
6299.7573242,8.678174e-20,2250.0,,,,
6299.5742188,5.55227e-20,2250.0,,,,
6299.4584961,5.183141e-19,2250.0,,,,
6299.2548828,9.864254e-20,2250.0,,,,
6299.0986328,2.1255469999999998e-19,2250.0,,,,
6299.0166016,8.584469e-20,2250.0,,,,
6298.8994141,1.1518289999999999e-19,2250.0,,,,
6298.815918,2.056198e-19,2250.0,,,,
6298.5288086,8.230473e-20,2250.0,,,,
6298.4155273,3.340423e-18,2250.0,,,,
6298.2080078,4.973803e-20,2250.0,,,,
6297.8183594,1.9428829999999997e-19,2250.0,,,,
6297.2133789,8.744459999999998e-19,2250.0,,,,
6297.1455078,1.7171999999999998e-19,2250.0,,,,
6297.015625,3.9820379999999994e-19,2250.0,,,,
6296.8286133,6.00576e-20,2250.0,,,,
6296.7241211,2.9370629999999997e-19,2250.0,,,,
6296.6186523,9.027947e-19,2250.0,,,,
6296.4521484,9.347612999999999e-20,2250.0,,,,
6296.4316406,2.230149e-19,2250.0,,,,
6296.3295898,1.058142e-19,2250.0,,,,
6296.1938477,1.7556749999999998e-19,2250.0,,,,
6296.0966797,1.0218299999999999e-19,2250.0,,,,
6295.9067383,6.380425e-20,2250.0,,,,
6295.8701172,1.6916109999999998e-19,2250.0,,,,
6295.7436523,9.156783e-20,2250.0,,,,
6295.6274414,2.6458139999999997e-19,2250.0,,,,
6295.5859375,9.332223999999999e-20,2250.0,,,,
6295.5131836,3.039567e-19,2250.0,,,,
6295.2749023,5.08731e-20,2250.0,,,,
6295.1674805,8.085873e-20,2250.0,,,,
6294.8549805,3.71525e-20,2250.0,,,,
6294.8203125,6.300148e-20,2250.0,,,,
6294.4907227,8.724185e-20,2250.0,,,,
6294.2192383,1.6323149999999998e-19,2250.0,,,,
6294.1547852,1.4871339999999998e-19,2250.0,,,,
6293.8354492,4.384811e-20,2250.0,,,,
6293.3071289,1.571019e-19,2250.0,,,,
6293.2177734,9.719853e-20,2250.0,,,,
6293.1132812,4.9722169999999995e-20,2250.0,,,,
6293.0869141,5.656731e-20,2250.0,,,,
6292.9931641,2.2404689999999997e-19,2250.0,,,,
6292.9360352,8.196513e-20,2250.0,,,,
6292.1791992,9.714927e-20,2250.0,,,,
6292.1464844,7.868434e-20,2250.0,,,,
6292.0004883,8.505052e-20,2250.0,,,,
6291.4663086,7.939464e-20,2250.0,,,,
6291.4272461,4.06433e-20,2250.0,,,,
6291.3139648,2.4073009999999997e-19,2250.0,,,,
6291.0864258,7.892451e-20,2250.0,,,,
6291.0073242,4.318022e-19,2250.0,,,,
6290.8867188,7.328984e-20,2250.0,,,,
6290.7099609,6.463956999999999e-19,2250.0,,,,
6290.6513672,1.0131989999999999e-19,2250.0,,,,
6290.4057617,7.211144999999999e-20,2250.0,,,,
6290.3544922,3.2978189999999997e-19,2250.0,,,,
6290.1894531,4.5816129999999996e-20,2250.0,,,,
6290.1884766,8.433039e-20,2250.0,,,,
6289.9091797,3.291263e-18,2250.0,,,,
6289.8515625,2.8365759999999996e-19,2250.0,,,,
6289.6098633,9.559378e-20,2250.0,,,,
