        D0        I1        I2
 1.8450000       0.0       0.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                                       A      A      0      1      +      .        104707.          157.5              .              .         34.887              .              .              .              .              .     HH     HH      .      .    EST      .      .      .      .      .
                                       a      a      0      3      +      .        104273.          297.6              .              .         34.887              .              .              .              .              .     HH     HH      .      .    EST      .      .      .      .      .
                                       X      X      0      1      +      .             0.         3228.4         157.71              .         34.887          2.636              .        1.61E-2              .              .     HH     HH     HH      .     HH     HH      .     HH      .      .
END
