        D0        I1        I2
 6.5077100       0.0       1.0
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                               nf seriesnfserie      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         nd-delta seriesnd-delt      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                     np-pi,-sigma seriesnp-pi,-      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                      F ^2 Delta3d-delta      F      2      1      .      .          61800           2394             20              .          1.982          0.023              .              .              .          1.067     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                   E ^2 Sigma^+ 4s-sigma      E      0      1      +      .        60628.8         2375.3          16.43              .         1.9863          0.182              .         5.6E-6              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                           B' ^2 Delta_i     B'      2      1      .      .        60364.2         1217.4          15.61              .          1.322          0.021              .              .              .          1.302     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  D ^2 Sigma^+  3p-sigma      D      0      1      +      .        53084.7        2323.90         22.885           0.75         2.0026        0.02175              .       [5.8E-6]              .         1.0618     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        C ^2 Pi_r  3p-pi      C      1      1      .      .          52126           2395             15              .          2.000          0.030              .              .              .          1.062     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                          b (^4 Sigma^-)      b      0      1      -      .        (48680)           1206             15              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                               B ^2 Pi_r      B      1      1      .      .        45942.6         1039.8           8.32           0.17          1.152          0.012              .         4.9E-6              .         1.4167     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               B ^2 Pi_r      B      1      1      .      .        45913.6         1037.2           7.70           0.10          1.092          0.012              .         4.9E-6              .         1.4167     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  A ^2 Sigma^+  3s-sigma      A      0      1      +      .        43965.7        2374.31         10.106        -0.0465         1.9965        0.01915              .         5.4E-6              .        1.06434     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                             a (^4 Pi_i)      a      1      4      .      .        (38440)           1017             11              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                               X ^2 Pi_r      X      1      1      .      .         119.82       1904.040         14.100              .      [1.72016]         0.0182              .     [10.23E-6]              .        1.15077     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               X ^2 Pi_r      X      1      1      .      .              0      1904.1346      14.088360    0.010050000      1.7048885    0.017541600              .      [0.54E-6]              .        1.15077     HH     IR     IR     IR     IR     IR     HH     HH     HH     HH
END
