        D0        I1        I2
 9.7539400       1.0       1.0
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                         D ^3 Sigma_u ^+      D      0      3      +      u     [104746.6]         1714.4              .              .        [1.961]              .              .        [20E-6]              .       [1.1080]     HH    EST     HH     HH     HH     HH     HH     HH     HH     HH
                               b ^1 Pi_u      b      1      1      .      u       (101675)        [634.8]              .              .       [1.4483]       -0.00362              .        [29E-6]              .         1.2841     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        a" ^1 Sigma_g ^+     a"      0      1      +      g     [100016.0]         1714.4              .              .       [1.9133]              .              .       [6.2E-6]              .       [1.1218]     HH    EST     HH     HH     HH     HH     HH     HH     HH     HH
                              C' ^3 Pi_u     C'      1      3      .      u          98351            791           33.5              .      [1.04976]              .              .      [10.9E-6]              .       [1.5146]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         E ^3 Sigma_g ^+      E      0      1      +      g        (95858)         [2185]              .              .      [1.927.3]              .              .       [6.0E-6]              .       [1.1177]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              C" ^5 Pi_u     C"      1      5      .      u        (93500)         1714.4              .              .          1.627              .              .              .              .              .     HH    EST     HH     HH    EST     HH     HH     HH     HH     HH
                               C ^3 Pi_u      C      1      1      .      u       89136.88       2047.178        28.4450              .        1.82473        0.01868              .              .              .        1,14869     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            G ^3 Delta_g      G      2      3      .      g        (87900)       [742.49]        (11.85)              .         0.9280         0.0161              .       [5.0E-6]              .         1.6107     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        A' ^5 Sigma_g ^+     A'      0      5      +      g        (78800)          (650)              .              .          1.627              .              .              .              .         (1.55)     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                            w ^1 Delta_u      w      2      1      .      u        72097.4        1559.26          11.63              .          1.498         0.0166              .              .              .          1.268     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               a ^1 Pi_g      a      1      1      .      g       69283.06       1694.208        13.9491       7.935E-3         1.6169        0.01793       -2.93E-5      (5.89E-6)              .         1.2203     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        a' ^1 Sigma_u ^-     a'      0      1      -      u       68152.66       1530.254        12.0747         .04129         1.4799        0.01657        2.41E-5      (5.55E-6)              .         1.2755     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        B' ^3 Sigma_u ^-     B'      0      1      -      u       66272.47        1516.88         12.181         .04186         1.4733        0.01666           9E-6      (5.56E-6)              .         1.2784     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            W ^3 Delta_u      W      2      1      .      u          59808       (1501.4)           11.6              .          1.627              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                               B ^3 Pi_g      B      1      1      .      g       59619.35        1733.39         14.122        -0.0569        1.63745        0.01791         7.7E-5       [5.9E-6]              .        1.21260     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         A ^3 Sigma_u ^+      A      0      3      +      u       50203.63        1460.64         13.872          .0103         1.4546         0.0180        -8.8E-5      [6.15E-6]              .         1.2866     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         X ^1 Sigma_g ^+      X      0      1      +      g              0      2358.5700      14.324000  -0.0022600000      1.9982410    0.017318000              .      [5.76E-6]              .       1.097685     HH     IR     IR     IR     IR     IR     HH     HH     HH     HH
END
