                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                    V_5  (^1 Sigma_u ^+)    V_5      0      1      +      u         114085          [789]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
  ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         G ^1 Sigma_u ^+      G      0      1      +      u       66313.37         694.12          4.182              .        0.29730        0.00195              .      [2.25E-7]              .         1.9135     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               E ^1 Pi_u      E      1      1      .      u       59446.21         700.66           2.92              .      [0.28072]              .              .      [1.84E-7]              .       [1.9692]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               B ^1 Pi_u      B      1      1      .      u        50845.9       [358.96]              .              .       [0.2268]              .              .       [3.2E-7]              .        [2.191]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              c ^3 Pi_u2      c      1      1      .      u        47176.8         393.67          3.849         -.0915         0.2190         0.0024              .         2.5E-7              .          2.229     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              c ^3 Pi_u1      c      1      1      .      u        47159.1         393.67          3.849         -.0915         0.2190         0.0024              .         2.5E-7              .          2.229     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              c ^3 Pi_u0      c      1      1      .      u        47139.2         393.67          3.849         -.0915         0.2190         0.0024              .         2.5E-7              .          2.229     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         C ^1 Sigma_u ^+      C      0      1      +      u       46941.26         473.93          2.340         0.0066        0.24211        0.00175         3.3E-6        2.57E-7              .         2.1204     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                               A ^1 Pi_g      A      1      1      .      g       34515.25         618.95           3.00              .        0.27524        0.00168              .         2.2E-7              .         1.9887     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              b ^2 Pi_g2      b      1      1      .      g        28329.6         644.66          3.213              .         0.2805        0.00178              .         2.0E-7              .          1.970     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              b ^2 Pi_g1      b      1      1      .      g        28197.0         644.66          3.213              .         0.2805        0.00178              .         2.0E-7              .          1.970     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                              b ^2 Pi_g0      b      1      1      .      g        28068.9         644.66          3.213              .         0.2805        0.00178              .         2.0E-7              .          1.970     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                        b' ^3 Sigma_u ^-     b'      0      3      -      u        28503.4         604.48            2.2              .         0.2584         0.0014              .         1.7E-7              .          2.052     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            a ^3 Sigma^+      a      0      3      +      .        18794.5         565.17           2.75              .        0.25033              .              .         3.3E-7              .         2.0853     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         X ^1 Sigma_g ^+      X      0      1      +      g              0      780.77000      2.8350000  -0.0046200000     0.30362000   0.0014900000        -2.7E-6        1.88E-7              .         1.8934     HH     IR     IR     IR     IR     IR     HH     HH     HH     HH
END
