        D0        I1        I2
 3.2200000       0.0       0.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                                       F      F      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       E      E      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       D      D      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       C      C      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                          A (^2 Sigma^+)      A      0      1      +      .        (31500)       [1232]()          (172)              .          7.780              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                          X_2  ^2 Pi_1/2    X_2      1      2      .      .         (1815)         (2400)              .              .         [7.78]              .              .              .              .        [1.475]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                          X_1  ^2 Pi_3/2    X_1      1      2      .      .              0         (2400)              .              .         [7.78]              .              .              .              .        [1.475]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
END
