# Elem. Ion    References (citation keys)
   Eu     I     Mar:1978
   Eu    II     Mar:1978
   Eu   III     Mar:1978
   Gd     I     Mar:1978
   Gd    II     Mar:1978
   Gd   III     Mar:1978
   Tb     I     Mar:1978
   Tb    II     Mar:1978,San:2005
   Tb   III     Mar:1978
   Dy     I     Mar:1978,San:2005
   Dy    II     Mar:1978,San:2005
   Dy   III     Mar:1978
   Ho     I     Mar:1978,San:2005
   Ho    II     Mar:1978
   Ho   III     Mar:1978
   Er     I     Mar:1978
   Er    II     Mar:1978
   Er   III     Mar:1978
   Tm     I     Mar:1978
   Tm    II     Mar:1978
   Tm   III     Mar:1978
   Yb     I     Mar:1978
   Yb    II     Mar:1978
   Yb   III     Mar:1978
   Lu     I     Mar:1978,Ver:1978, Wya:1978
   Lu    II     Mar:1978
   Lu   III     Mar:1978
   Hf     I     Moo:1971a, San:2005
   Hf    II     Moo:1971a
   Ta     I     Moo:1971a
   Ta    II     Moo:1971a
    W     I     Kra:2006b
    W    II     Kra:2006b
    W   III     Kra:2009
   Re     I     Moo:1971a
   Re    II     Moo:1971a
   Os     I     Moo:1971a
   Os    II     Moo:1971a
   Ir     I     Moo:1971a
   Ir    II     Kle:1978
   Pt     I     Moo:1971a
   Pt    II     Moo:1971a
   Au     I     Moo:1971a, San:2005
   Au    II     Moo:1971a, San:2005
   Hg     I     Sal:2006
   Hg    II     San:2001
   Hg   III     Moo:1971a, Wya:1992
   Tl     I     Moo:1971a
   Tl    II     Moo:1971a, San:2005
   Tl   III     Gut:1973
   Pb     I     Moo:1971a, San:2005
   Pb    II     Moo:1971a, San:2005
   Pb   III     Moo:1971a, Mar:1972, Raa:1991, Ban:2008
   Bi     I     Moo:1971a, San:2005
   Bi    II     Dol:2002,Jos:1986, Moo:1971a
   Bi   III     Moo:1971a
   Po     I     Cha:1966a, Moo:1971a
   At     I     McL:1964
   Rn     I     Moo:1971a
   Rn    II     Moo:1971a
   Fr     I     San:2007
   Ra     I     Moo:1971a
   Ra    II     Moo:1971a
   Ac     I     Moo:1971a
   Ac    II     Moo:1971a
   Ac   III     Moo:1971a
   Th     I     Bla:1992
   Th    II     Bla:1992
   Th   III     Meg:1975
   Pa     I     Bla:1992
   Pa    II     Bla:1992
   Pa   III     Cao:2003
    U     I     Bla:1992
    U    II     Bla:1992
    U   III     Ste:1971
