# Equilibrium constants  log10(pK)
#          291
# T [K]   1.00000e-05   1.00000e-04   1.00000e-03   1.00000e-02   1.00000e-01   1.50000e-01   2.00000e-01   3.00000e-01   5.00000e-01   7.00000e-01   1.00000e+00   1.30000e+00   1.70000e+00   2.00000e+00   3.00000e+00   5.00000e+00   7.00000e+00   1.00000e+01   1.50000e+01   2.00000e+01   3.00000e+01   5.00000e+01   7.00000e+01   1.00000e+02   1.30000e+02   1.70000e+02   2.00000e+02   2.50000e+02   3.00000e+02   5.00000e+02   7.00000e+02   1.00000e+03   1.50000e+03   2.00000e+03   3.00000e+03   4.00000e+03   5.00000e+03   6.00000e+03   7.00000e+03   8.00000e+03   9.00000e+03   1.00000e+04
#
  Si2  -1.60017e+09  -1.60017e+08  -1.60017e+07  -1.60017e+06  -1.60015e+05  -1.06676e+05  -8.00060e+04  -5.33361e+04  -3.19999e+04  -2.28558e+04  -1.59975e+04  -1.23046e+04  -9.40812e+03  -7.99607e+03  -5.32880e+03  -3.19486e+03  -2.28024e+03  -1.59421e+03  -1.06054e+03  -7.93646e+02  -5.26629e+02  -3.12747e+02  -2.20895e+02  -1.51845e+02  -1.14566e+02  -8.52541e+01  -7.09336e+01  -5.46730e+01  -4.38109e+01  -2.20174e+01  -1.26362e+01  -5.57238e+00  -4.81565e-02   2.73461e+00   5.55218e+00   6.98926e+00   7.86637e+00   8.45673e+00   8.87885e+00   9.19483e+00   9.44270e+00   9.64872e+00
   P2  -2.53557e+09  -2.53557e+08  -2.53557e+07  -2.53557e+06  -2.53553e+05  -1.69033e+05  -1.26773e+05  -8.45136e+04  -5.07056e+04  -3.62164e+04  -2.53495e+04  -1.94979e+04  -1.49085e+04  -1.26711e+04  -8.44487e+03  -5.06377e+03  -3.61465e+03  -2.52774e+03  -1.68228e+03  -1.25950e+03  -8.36634e+02  -4.98224e+02  -3.53115e+02  -2.44215e+02  -1.85531e+02  -1.39464e+02  -1.16986e+02  -9.14883e+01  -7.44714e+01  -4.03701e+01  -2.57120e+01  -1.46881e+01  -6.08246e+00  -1.76042e+00   2.59295e+00   4.80575e+00   6.16429e+00   7.08936e+00   7.75711e+00   8.25596e+00   8.63774e+00   8.93665e+00
   S2  -2.20213e+09  -2.20213e+08  -2.20213e+07  -2.20213e+06  -2.20210e+05  -1.46805e+05  -1.10103e+05  -7.34001e+04  -4.40378e+04  -3.14538e+04  -2.20157e+04  -1.69336e+04  -1.29476e+04  -1.10044e+04  -7.33380e+03  -4.39723e+03  -3.13863e+03  -2.19461e+03  -1.46028e+03  -1.09307e+03  -7.25773e+02  -4.31816e+02  -3.05758e+02  -2.11146e+02  -1.60150e+02  -1.20105e+02  -1.00557e+02  -7.83692e+01  -6.35493e+01  -3.38041e+01  -2.09898e+01  -1.13365e+01  -3.78860e+00   7.40270e-03   3.83330e+00   5.77111e+00   6.95066e+00   7.74807e+00   8.32419e+00   8.75948e+00   9.09904e+00   9.37064e+00
  Cl2  -1.24687e+09  -1.24687e+08  -1.24687e+07  -1.24687e+06  -1.24683e+05  -8.31199e+04  -6.23385e+04  -4.15569e+04  -2.49316e+04  -1.78064e+04  -1.24624e+04  -9.58485e+03  -7.32788e+03  -6.22759e+03  -4.14920e+03  -2.48637e+03  -1.77365e+03  -1.23904e+03  -8.23150e+02  -6.15150e+02  -4.07073e+02  -2.40491e+02  -1.69021e+02  -1.15352e+02  -8.64074e+01  -6.36677e+01  -5.25637e+01  -3.99579e+01  -3.15366e+01  -1.46196e+01  -7.31166e+00  -1.78478e+00   2.56019e+00   4.75698e+00   6.97360e+00   8.05997e+00   8.65351e+00   8.99647e+00   9.21162e+00   9.36002e+00   9.47120e+00   9.55996e+00
   K2  -2.78202e+08  -2.78203e+07  -2.78203e+06  -2.78201e+05  -2.78167e+04  -1.85430e+04  -1.39061e+04  -9.26907e+03  -5.55936e+03  -3.96941e+03  -2.77687e+03  -2.13469e+03  -1.63098e+03  -1.38540e+03  -9.21465e+02  -5.50194e+02  -3.91001e+02  -2.71539e+02  -1.78540e+02  -1.31986e+02  -8.53597e+01  -4.79606e+01  -3.18841e+01  -1.97935e+01  -1.32643e+01  -8.12828e+00  -5.61740e+00  -2.76354e+00  -8.54230e-01   2.99107e+00   4.65713e+00   5.91682e+00   6.89668e+00   7.37622e+00   7.84753e+00   8.11289e+00   8.33493e+00   8.58562e+00   8.89767e+00   9.25594e+00   9.62301e+00   9.97054e+00
  Cu2  -1.02965e+09  -1.02965e+08  -1.02965e+07  -1.02965e+06  -1.02961e+05  -6.86390e+04  -5.14780e+04  -3.43168e+04  -2.05878e+04  -1.47038e+04  -1.02908e+04  -7.91448e+03  -6.05068e+03  -5.14205e+03  -3.42570e+03  -2.05250e+03  -1.46390e+03  -1.02239e+03  -6.78908e+02  -5.07112e+02  -3.35239e+02  -1.97619e+02  -1.38565e+02  -9.42125e+01  -7.02949e+01  -5.15097e+01  -4.23404e+01  -3.19362e+01  -2.49906e+01  -1.10630e+01  -5.06815e+00  -5.51472e-01   2.98387e+00   4.76465e+00   6.56863e+00   7.50667e+00   8.10854e+00   8.54247e+00   8.87798e+00   9.15176e+00   9.38716e+00   9.60036e+00
  As2  -1.99580e+09  -1.99580e+08  -1.99580e+07  -1.99580e+06  -1.99575e+05  -1.33048e+05  -9.97847e+04  -6.65211e+04  -3.99101e+04  -2.85053e+04  -1.99516e+04  -1.53457e+04  -1.17332e+04  -9.97212e+03  -6.64551e+03  -3.98411e+03  -2.84343e+03  -1.98786e+03  -1.32233e+03  -9.89505e+02  -6.56607e+02  -3.90167e+02  -2.75903e+02  -1.90137e+02  -1.43912e+02  -1.07622e+02  -8.99147e+01  -6.98296e+01  -5.64267e+01  -2.95743e+01  -1.80345e+01  -9.35513e+00  -2.57661e+00   8.30792e-01   4.26990e+00   6.02486e+00   7.10532e+00   7.84223e+00   8.37646e+00   8.78021e+00   9.09570e+00   9.34982e+00
  Se2  -1.70701e+09  -1.70701e+08  -1.70701e+07  -1.70701e+06  -1.70698e+05  -1.13797e+05  -8.53462e+04  -5.68955e+04  -3.41349e+04  -2.43802e+04  -1.70641e+04  -1.31247e+04  -1.00348e+04  -8.52854e+03  -5.68323e+03  -3.40686e+03  -2.43120e+03  -1.69939e+03  -1.13011e+03  -8.45420e+02  -5.60652e+02  -3.32715e+02  -2.34952e+02  -1.61563e+02  -1.22005e+02  -9.09494e+01  -7.57980e+01  -5.86162e+01  -4.71555e+01  -2.42154e+01  -1.43639e+01  -6.94287e+00  -1.11485e+00   1.83957e+00   4.84686e+00   6.38687e+00   7.33124e+00   7.97213e+00   8.43552e+00   8.78537e+00   9.05843e+00   9.27789e+00
  Sb2  -1.55632e+09  -1.55632e+08  -1.55632e+07  -1.55632e+06  -1.55627e+05  -1.03750e+05  -7.78107e+04  -5.18717e+04  -3.11204e+04  -2.22269e+04  -1.55568e+04  -1.19651e+04  -9.14803e+03  -7.77470e+03  -5.18057e+03  -3.10514e+03  -2.21559e+03  -1.54837e+03  -1.02933e+03  -7.69753e+02  -5.10102e+02  -3.02260e+02  -2.13109e+02  -1.46185e+02  -1.10113e+02  -8.17935e+01  -6.79762e+01  -5.23040e+01  -4.18460e+01  -2.08922e+01  -1.18845e+01  -5.10602e+00   1.92904e-01   2.86149e+00   5.57154e+00   6.97731e+00   7.86099e+00   8.47648e+00   8.93181e+00   9.28282e+00   9.56285e+00   9.79388e+00
  Te2  -1.32701e+09  -1.32701e+08  -1.32701e+07  -1.32700e+06  -1.32697e+05  -8.84626e+04  -6.63455e+04  -4.42284e+04  -2.65346e+04  -1.89514e+04  -1.32640e+04  -1.02015e+04  -7.79950e+03  -6.62851e+03  -4.41656e+03  -2.64688e+03  -1.88836e+03  -1.31941e+03  -8.76811e+02  -6.55455e+02  -4.34022e+02  -2.56755e+02  -1.80709e+02  -1.23615e+02  -9.28376e+01  -6.86730e+01  -5.68817e+01  -4.35062e+01  -3.45798e+01  -1.66920e+01  -9.00430e+00  -3.22830e+00   1.27316e+00   3.53725e+00   5.84033e+00   7.03082e+00   7.76923e+00   8.27495e+00   8.64362e+00   8.92498e+00   9.14817e+00   9.33189e+00
