2.288000900000000183e+04 1.053187000000000095e+00 1.070742169745590555e+00
2.288013499999999840e+04 1.056629000000000040e+00 1.073294942901900528e+00
2.288025999999999840e+04 1.063685999999999909e+00 1.075008348008081205e+00
2.288038600000000224e+04 1.060923000000000060e+00 1.076280016605754897e+00
2.288051100000000224e+04 1.047595999999999972e+00 1.077392180854029657e+00
2.288063600000000224e+04 1.061871000000000009e+00 1.078498686814445717e+00
2.288076199999999881e+04 1.071593999999999935e+00 1.079662240857196975e+00
2.288088699999999881e+04 1.059965999999999964e+00 1.080875618264737881e+00
2.288101300000000265e+04 1.057625000000000037e+00 1.082156310369295715e+00
2.288113800000000265e+04 1.059390000000000054e+00 1.083379126141406301e+00
2.288126299999999901e+04 1.091401000000000066e+00 1.084296973029329925e+00
2.288138899999999921e+04 1.082632999999999956e+00 1.084694579785822288e+00
2.288151399999999921e+04 1.061366000000000032e+00 1.084601093111412284e+00
2.288163899999999921e+04 1.062867999999999924e+00 1.084193414906429842e+00
2.288176499999999942e+04 1.073696999999999901e+00 1.083604548340852736e+00
2.288188999999999942e+04 1.075496000000000008e+00 1.082964938519875409e+00
2.288201599999999962e+04 1.069275999999999893e+00 1.082384681848855834e+00
2.288214099999999962e+04 1.055811999999999973e+00 1.081968951263163836e+00
2.288226600000000326e+04 1.061110999999999915e+00 1.081743257240233014e+00
2.288239199999999983e+04 1.070319000000000020e+00 1.081690329252451344e+00
2.288251699999999983e+04 1.067787999999999959e+00 1.081784321162268414e+00
2.288264199999999983e+04 1.082200999999999969e+00 1.081912692523436359e+00
2.288276800000000367e+04 1.077809999999999935e+00 1.081889007459329921e+00
2.288289300000000367e+04 1.065854999999999997e+00 1.081639240640873689e+00
2.288301800000000003e+04 1.085279000000000105e+00 1.081172179490366370e+00
2.288314400000000023e+04 1.072055999999999898e+00 1.080468488130074567e+00
2.288326900000000023e+04 1.082014000000000031e+00 1.079636273524762657e+00
2.288339400000000023e+04 1.101053000000000059e+00 1.078793901272879108e+00
2.288352000000000044e+04 1.093247999999999998e+00 1.078010837376064401e+00
2.288364500000000044e+04 1.076839000000000102e+00 1.077305737860631885e+00
2.288377000000000044e+04 1.090702999999999978e+00 1.076626155103323157e+00
2.288389600000000064e+04 1.055166000000000048e+00 1.075953543455983485e+00
2.288402100000000064e+04 1.069520999999999944e+00 1.075272539011517647e+00
2.288414599999999700e+04 1.073007999999999962e+00 1.074579163441894858e+00
2.288427200000000084e+04 1.071166000000000063e+00 1.073951050976529542e+00
2.288439700000000084e+04 1.056256000000000084e+00 1.073487190053570073e+00
2.288452200000000084e+04 1.086186000000000096e+00 1.073153588981377471e+00
2.288464799999999741e+04 1.064726000000000061e+00 1.072865118407045237e+00
2.288477299999999741e+04 1.071763999999999939e+00 1.072607536809889517e+00
2.288489799999999741e+04 1.067031999999999980e+00 1.072395292943700618e+00
2.288502400000000125e+04 1.064924999999999899e+00 1.072185592804371090e+00
2.288514900000000125e+04 1.070426000000000100e+00 1.071888177133793141e+00
2.288527400000000125e+04 1.061280000000000001e+00 1.071448950915074194e+00
2.288539999999999782e+04 1.073458000000000023e+00 1.070915006815921666e+00
2.288552500000000146e+04 1.061317000000000066e+00 1.070432586903700356e+00
2.288565000000000146e+04 1.083101000000000091e+00 1.070055242955570973e+00
2.288577500000000146e+04 1.079252000000000100e+00 1.069731091182748006e+00
2.288590099999999802e+04 1.059593000000000007e+00 1.069370354033745585e+00
2.288602599999999802e+04 1.076707000000000081e+00 1.068799569224104129e+00
2.288615099999999802e+04 1.062658000000000103e+00 1.067636644570857385e+00
2.288627599999999802e+04 1.036588999999999983e+00 1.065379972570114298e+00
2.288640200000000186e+04 1.053654000000000091e+00 1.061890769493056164e+00
2.288652700000000186e+04 1.041787999999999936e+00 1.057733288466507160e+00
2.288665200000000186e+04 1.042815000000000047e+00 1.053395649371384302e+00
2.288677799999999843e+04 1.042451000000000016e+00 1.048983421228550927e+00
2.288690299999999843e+04 1.025635999999999992e+00 1.044529971367451182e+00
2.288702799999999843e+04 1.036575000000000024e+00 1.039955083701892269e+00
2.288715299999999843e+04 1.020469999999999988e+00 1.035227775416985407e+00
2.288727899999999863e+04 1.009432000000000107e+00 1.030445362337502280e+00
2.288740399999999863e+04 1.029806999999999917e+00 1.025846816402341766e+00
2.288752899999999863e+04 1.001387000000000027e+00 1.021438936020971022e+00
2.288765399999999863e+04 1.007991000000000081e+00 1.017290410137289269e+00
2.288778000000000247e+04 1.015416000000000096e+00 1.013519235600177648e+00
2.288790500000000247e+04 9.981520000000000392e-01 1.010327972644048611e+00
2.288803000000000247e+04 9.900320000000000231e-01 1.007773704753752053e+00
2.288815500000000247e+04 1.005513000000000101e+00 1.005893624595276092e+00
2.288828000000000247e+04 1.005989999999999940e+00 1.004665405159091751e+00
2.288840599999999904e+04 9.914439999999999920e-01 1.004057379155943952e+00
2.288853099999999904e+04 9.835880000000000178e-01 1.004105337909739770e+00
2.288865599999999904e+04 9.963539999999999619e-01 1.004809957474556814e+00
2.288878099999999904e+04 9.859660000000000091e-01 1.006090783986618664e+00
2.288890699999999924e+04 1.003033999999999981e+00 1.007844356426693899e+00
2.288903199999999924e+04 1.004138999999999893e+00 1.009948437621191575e+00
2.288915699999999924e+04 9.823889999999999567e-01 1.012399599599346667e+00
2.288928199999999924e+04 9.904779999999999696e-01 1.015245742875274582e+00
2.288940699999999924e+04 1.014690000000000092e+00 1.018415578704122693e+00
2.288953300000000309e+04 1.014537999999999940e+00 1.021667084779289691e+00
2.288965800000000309e+04 1.015250999999999904e+00 1.024778127054078114e+00
2.288978300000000309e+04 1.028985999999999956e+00 1.027823144757938678e+00
2.288990799999999945e+04 1.008930000000000105e+00 1.030690665764287361e+00
2.289003299999999945e+04 1.020769999999999955e+00 1.033255582908277237e+00
2.289015799999999945e+04 1.033584000000000058e+00 1.035731613447470556e+00
2.289028399999999965e+04 1.023174000000000028e+00 1.038176672498982045e+00
2.289040899999999965e+04 1.019894000000000078e+00 1.040378619294867413e+00
2.289053399999999965e+04 1.029414999999999969e+00 1.042282769007618404e+00
2.289065900000000329e+04 1.035759000000000096e+00 1.043469429476307386e+00
2.289078400000000329e+04 1.007729000000000097e+00 1.043588654580444475e+00
2.289090999999999985e+04 1.038143000000000038e+00 1.042914608103619356e+00
2.289103499999999985e+04 1.019120000000000026e+00 1.041730250557056037e+00
2.289115999999999985e+04 1.008383000000000029e+00 1.039932491223418021e+00
2.289128499999999985e+04 1.005193000000000003e+00 1.037556692736448127e+00
2.289140999999999985e+04 1.030562999999999896e+00 1.034959981060758372e+00
2.289153499999999985e+04 1.004248000000000030e+00 1.032435545307033076e+00
2.289165999999999985e+04 1.005036999999999958e+00 1.030163329690983565e+00
2.289178600000000006e+04 1.015949999999999909e+00 1.028149013324442862e+00
2.289191100000000006e+04 9.919649999999999856e-01 1.026357172150699659e+00
2.289203600000000006e+04 9.963870000000000227e-01 1.024839859609596449e+00
2.289216100000000006e+04 9.880339999999999678e-01 1.023661745812876722e+00
2.289228600000000006e+04 9.721640000000000281e-01 1.022846926256183453e+00
2.289241100000000006e+04 1.002982000000000040e+00 1.022511628432252628e+00
2.289253600000000006e+04 9.957709999999999617e-01 1.022749400876553194e+00
2.289266200000000026e+04 1.000251999999999919e+00 1.023533989874305883e+00
2.289278700000000026e+04 1.003964000000000079e+00 1.024701734117112295e+00
2.289291200000000026e+04 1.010648999999999909e+00 1.026127551710870112e+00
2.289303700000000026e+04 1.013158999999999921e+00 1.027800086102288901e+00
2.289316200000000026e+04 1.015306000000000042e+00 1.029763597991609325e+00
2.289328700000000026e+04 1.005189000000000110e+00 1.032074361149137420e+00
2.289341200000000026e+04 1.021999000000000102e+00 1.034771431285455678e+00
2.289353700000000026e+04 1.001452999999999927e+00 1.037862846834382013e+00
2.289366200000000026e+04 1.025114999999999998e+00 1.041337872672233544e+00
2.289378800000000047e+04 1.041489000000000109e+00 1.045050257469591459e+00
2.289391300000000047e+04 1.031333000000000055e+00 1.048544377467982347e+00
2.289403800000000047e+04 1.029717999999999911e+00 1.051668716209065657e+00
2.289416300000000047e+04 1.047787999999999942e+00 1.054461983857449603e+00
2.289428800000000047e+04 1.046699999999999964e+00 1.056537278129346502e+00
2.289441300000000047e+04 1.052189999999999959e+00 1.057368386458923393e+00
2.289453800000000047e+04 1.037768000000000024e+00 1.056939189363898857e+00
2.289466300000000047e+04 1.055647999999999920e+00 1.055249317544088905e+00
2.289478800000000047e+04 1.041083999999999898e+00 1.052068939557976979e+00
2.289491300000000047e+04 1.032267999999999963e+00 1.047551561750615701e+00
2.289503800000000047e+04 1.044824999999999893e+00 1.042268991059155381e+00
2.289516299999999683e+04 1.015968999999999900e+00 1.036738898868524439e+00
2.289528799999999683e+04 1.011249999999999982e+00 1.031318931103290870e+00
2.289541400000000067e+04 9.998650000000000038e-01 1.025978163986151381e+00
2.289553900000000067e+04 9.991809999999999858e-01 1.020609376964562554e+00
2.289566400000000067e+04 9.944140000000000201e-01 1.015196106453243763e+00
2.289578900000000067e+04 1.009695000000000009e+00 1.010008686332455996e+00
2.289591400000000067e+04 1.002218000000000053e+00 1.005211476156130157e+00
2.289603900000000067e+04 1.000310000000000032e+00 1.000857651391736436e+00
2.289616399999999703e+04 9.843140000000000223e-01 9.969865591004012373e-01
2.289628899999999703e+04 9.872199999999999864e-01 9.935398481176835883e-01
